,Acceptance,Asking price,Asking price per m²,Bathroom facilities,Building type,Energy label,Exterior space attached to the building,Facilities,Garden,Heating,Hot water,Insulation,Kind of house,Listed since,Living area,Location,Number of bath rooms,Number of rooms,Number of stories,Plot size,Specific,Status,Type of parking facilities,Type of roof,Volume in cubic meters,Year of construction,url,Annual meeting,Balcony/roof garden,Building insurance,CH boiler,External storage space,Located at,Maintenance plan,Periodic contribution,Provisional energy label,Registration with KvK,Reserve fund present,Shed / storage,Type apartment,VVE (Owners Association) contribution,Quality marks,Service charges,Type of garage,Other space inside the building,Garden location,Back garden
52,Available in consultation,1150000,6425,Toilet,Resale,A  ,12,Electrical door,,District heating,CH boiler and district heating,,,"March 12, 2022",179,In residential district,1 bathroom and 1 separate toilet,"4  ,3 ",1,,,Available,,Flat roof covered with other,580,2017,https://www.funda.nl/en/koop/amsterdam/appartement-42639565-amstelvlietstraat-221,Yes,Balcony present,Yes,,6,2 ,Yes,Yes (€ 198.00 per month),,Yes,Yes,Storage box,Upstairs apartment (apartment), 198.00  ,,,Built-in,,,
53,Available in consultation,290000,8529,Shower and toilet,Resale,E  ,3,Elevator and TV via cable,,Communal central heating,Electrical boiler,Double glazing,,3 ,34,"Alongside park, in residential district and unobstructed surrounding view",1 bathroom,"2  ,1 ",1,,Partly furnished with carpets and curtains,Sold under reservation,"Paid parking, public parking and resident's parking permits",,110,1966,https://www.funda.nl/en/koop/amsterdam/appartement-42601453-van-nijenrodeweg-413,Yes,Balcony present,Yes,,6,5 ,Yes,Yes (€ 106.07 per month),,Yes,Yes,Storage box,Upstairs apartment (apartment), 106.07  ,, 106  ,,,,
54,Available in consultation,400000,5970,Shower,Resale,E  ,5,,,,,,,5 ,67,Alongside a quiet road and unobstructed surrounding view,1 bathroom and 1 separate toilet,"3  ,2 ",3,,,Sold under reservation,,,220,1963,https://www.funda.nl/en/koop/amsterdam/appartement-42697197-schierstins-80,Yes,Balcony present,Yes,,5,3 ,Yes,Yes (€ 108.00 per month),,Yes,Yes,Storage box,Residential property with shared street entrance (apartment), 108.00  ,, 108  ,,1 ,,
55,Available in consultation,350000,6863,Shower,Resale,E  ,5,"Optical fibre, passive ventilation system and TV via cable",,Gas heaters,Gas water heater,No insulation,,"March 1, 2022",51,Alongside a quiet road and in residential district,1 bathroom and 1 separate toilet,"2  ,1 ",1,,,Available,Paid parking and resident's parking permits,Flat roof covered with asphalt roofing,172,1910,https://www.funda.nl/en/koop/amsterdam/appartement-42625364-madurastraat-64-2,Yes,Balcony present,Yes,,,2 ,No,Yes (€ 80.00 per month),,Yes,Yes,,Upstairs apartment (apartment), 80.00  ,,,,,,
56,Available in consultation,425000,5903,,Resale,E  ,4,Electricity,,CH boiler,CH boiler,Double glazing,,3 ,72,In residential district,1 bathroom,"3  ,2 ",2,,,Available,"Paid parking, public parking and resident's parking permits",Gable roof covered with roof tiles,259,1925,https://www.funda.nl/en/koop/amsterdam/appartement-42615339-kamperfoelieweg-126,Yes,Balcony present,Yes,"Vaillant ecoTEC plus VHR (gas-fired combination boiler from 2015, in ownership)",3,2 ,Yes,Yes (€ 113.29 per month),,Yes,Yes,Storage box,Upstairs apartment (double upstairs apartment), 113.29  ,,,,5 ,,
58,Available in consultation,1150000,5637,"Bath, shower and toilet",Resale,C  ,,,,Gas heaters,Electrical boiler,,"Desirable residence/villa, row house",4 ,204,In center,1 bathroom and 1 separate toilet,"7  ,2 ",4,65,Protected townscape or village view (permit needed for alterations),Available,Paid parking and resident's parking permits,,420,1759,https://www.funda.nl/en/koop/amsterdam/huis-42598138-haarlemmerstraat-43,,,,,,,,,,,,,,,,,,,,
59,Available in consultation,493500,4486,"Bath, 2 showers and 2 toilets",New,,,,,"District heating, complete floor heating and heat pump",District heating,Completely insulated,,6+ ,110,"On navigable waterway, alongside water, in residential district and unobstructed surrounding view",2 bathrooms and 1 separate toilet,"4  ,3 ",2,,,Sold under reservation,Parking garage,Flat roof covered with asphalt roofing and other,310,2022,https://www.funda.nl/en/koop/amsterdam/appartement-41111984-tip-maruggstraat-bouwnr-hoekmaiso,,,,,,3 ,,,A ,,,Built-in,Maisonnette (double upstairs apartment),,Woningborg garantiecertificaat,,,,,
60,Available immediately,315000,8077,Shower,Resale,,17,,Sun terrace,,,,,"March 1, 2022",39,,1 bathroom and 1 separate toilet,"2  ,1 ",1,,,Available,,,92,1940,https://www.funda.nl/en/koop/amsterdam/appartement-42625476-lanseloetstraat-24-4,Yes,Roof terrace present,Yes,,,,Yes,Yes (€ 118.00 per month),,Yes,Yes,,Upstairs apartment (apartment), 118.00  ,,,,,,
61,Available immediately,1795000,9917,"Bath, shower and toilet",Resale,C  ,6,Electricity,Back garden,,CH boiler,Insulated walls and floor insulation,,6+ ,181,"Alongside park, alongside a quiet road, in center and in residential district",1 bathroom and 2 separate toilets,"6  ,2 ",2,,,Sold under reservation,Resident's parking permits,Flat roof covered with asphalt roofing,650,1898,https://www.funda.nl/en/koop/amsterdam/appartement-41312403-jan-luijkenstraat-32-h,Yes,Balcony present,Yes,,,Grou ,No,Yes,,Yes,Yes,Attached wooden storage,Ground-floor apartment (bel-etage (main floor)),,,,,7 ,Located at the northwest accessible via the rear,"65 m² (10 meter deep and 6,5 meter broad)"
62,Available in consultation,890000,10854,Bath and 2 showers,Resale,C  ,8,Elevator,,CH boiler and partial floor heating,CH boiler,Completely insulated,,2 ,82,Alongside water and in center,2 bathrooms and 1 separate toilet,"3  ,2 ",1,,Protected townscape or village view (permit needed for alterations),Sold under reservation,Paid parking and resident's parking permits,,280,1905,https://www.funda.nl/en/koop/amsterdam/appartement-42618431-nicolaas-witsenkade-27-c,Yes,Balcony present and french balcony present,Yes,"Gas-fired from 2015, in ownership",,3 ,No,Yes (€ 188.90 per month),,Yes,Yes,,Upstairs apartment (apartment), 188.90  ,,,,,,
63,Available in consultation,290000,8788,,Resale,C  ,2,Electricity,,Communal central heating and district heating,Electrical boiler,Double glazing,,"March 4, 2022",33,Alongside park,1 separate toilet,"2  ,1 ",1,,,Available,Paid parking and resident's parking permits,Flat roof,111,1964,https://www.funda.nl/en/koop/amsterdam/appartement-42628389-van-nijenrodeweg-712,Yes,Balcony present,Yes,,4,7 ,Yes,Yes (€ 87.80 per month),,Yes,Yes,Storage box,Apartment with shared street entrance, 87.80  ,,,,,,
64,Available in consultation,450000,6618,Shower,Resale,C  ,7,Electricity,,CH boiler,CH boiler,Double glazing,,"March 2, 2022",68,"Alongside a quiet road, in residential district and unobstructed surrounding view",1 bathroom and 1 separate toilet,"4  ,2 ",1,,,Available,Resident's parking permits,Flat roof,218,1955,https://www.funda.nl/en/koop/amsterdam/appartement-42614038-lord-kelvinstraat-15-1,Yes,Balcony present,Yes,"Gas-fired combination boiler, in ownership",6,,Yes,Yes (€ 187.00 per month),,Yes,Yes,Storage box,Upstairs apartment (apartment), 187.00  ,,,,,,
65,Available in consultation,745000,6057,,New,,8,Electricity,,Complete floor heating and heat recovery unit,Central facility,Completely insulated,,"March 10, 2022",123,"Alongside a quiet road, in residential district and unobstructed surrounding view",1 bathroom and 1 separate toilet,"3  ,1 ",2,,Renovation project,Available,Paid parking and parking garage,Flat roof covered with asphalt roofing,320,2022,https://www.funda.nl/en/koop/amsterdam/appartement-42637977-wijnsilostraat-179,,Balcony present,,,,1 ,,,,,,Built-in,Maisonnette,,, 284  ,Underground parking and parking place,,,
66,Available in consultation,460000,8214,,Resale,A+  ,3,,,,,,,"March 10, 2022",56,,,"2  ,1 ",1,,,Available,,,182,1890,https://www.funda.nl/en/koop/amsterdam/appartement-88099821-sint-willibrordusstraat-97-iii,Yes,Balcony present,Yes,,,,No,Yes (€ 50.00 per month),,Yes,Yes,,Upstairs apartment, 50.00  ,,,,,,
67,Available in consultation,400000,6557,Shower,Resale,E  ,5,Passive ventilation system and TV via cable,,CH boiler,CH boiler,No insulation,,2 ,61,"Alongside a quiet road, on navigable waterway, in residential district and unobstructed surrounding view",1 bathroom and 1 separate toilet,"4  ,3 ",4,,,Available,Resident's parking permits,Flat roof covered with asphalt roofing,205,1925,https://www.funda.nl/en/koop/amsterdam/appartement-42619842-admiralengracht-66-ll,Yes,Balcony present,Yes,"HRE Kombi Kompakt 28/24 ketel (gas-fired combination boiler from 2014, in ownership)",,2 ,Yes,Yes,,Yes,Yes,,Upstairs apartment (apartment),,, 90  ,,,,
68,Available in consultation,2750000,15027,3 showers and toilet,Resale,Not required,21,"Air conditioning, alarm installation, outdoor awning, <{cctv}>, smart home, elevator, mechanical ventilation, passive ventilation system, flue and TV via cable",,Complete floor heating,CH boiler,"Roof insulation, double glazing and insulated walls",,2 ,183,In residential district,3 bathrooms and 2 separate toilets,"5  ,3 ",2,,Listed building (national monument) and monumental building,Available,Paid parking and resident's parking permits,Flat roof,480,1961,https://www.funda.nl/en/koop/amsterdam/appartement-42612389-overtoom-545-c-d,Yes,"Roof terrace present, balcony present and french balcony present",Yes,,10,6 ,Yes,Yes (€ 472.67 per month),,Yes,Yes,Storage box,Penthouse (double upstairs apartment with open entrance to street), 472.67  ,,,Not yet present but possible,,,
69,Available in consultation,449000,8472,,Resale,A  ,25,,,CH boiler,CH boiler,Double glazing,,"March 1, 2022",53,In residential district,1 bathroom and 1 separate toilet,"3  ,2 ",1,,,Available,,,165,1926,https://www.funda.nl/en/koop/amsterdam/appartement-88089978-valentijnkade-57-a,Yes,Balcony present,Yes,"Gas-fired, in ownership",,1 ,Yes,Yes (€ 109.00 per month),,Yes,Yes,,Mezzanine (apartment), 109.00  ,,,,,,
70,Available in consultation,415000,7981,,Resale,C  ,5,Electricity,,CH boiler,CH boiler,Double glazing,,"March 2, 2022",52,,,"4  ,2 ",1,,,Available,,Combination roof covered with asphalt roofing and roof tiles,137,1934,https://www.funda.nl/en/koop/amsterdam/appartement-42625605-de-rijpgracht-49-1,Yes,Balcony present,Yes,"Gas-fired combination boiler, in ownership",6,2 ,Yes,Yes,,Yes,Yes,Built-in,Upstairs apartment (apartment),,, 106  ,,,,
71,Available immediately,450000,8182,Shower,Resale,D 2.07  ,4,TV via cable,,CH boiler,CH boiler,Mostly double glazed,,3 ,55,In center,1 bathroom and 1 separate toilet,"3  ,2 ",1,,,Under offer,Paid parking and resident's parking permits,,176,1861,https://www.funda.nl/en/koop/amsterdam/appartement-88066289-leidsekruisstraat-30-3,Yes,Balcony present,Yes,"Gas-fired combination boiler, in ownership",,3 ,Yes,Yes (€ 95.00 per month),,Yes,Yes,,Upstairs apartment (apartment), 95.00  ,,,,,,
72,Available in consultation,785000,4243,2 showers and 2 toilets,Resale,A  ,13,Electricity,Back garden,District heating,District heating,Energy efficient window,"Single-family home, corner house",4 ,185,Alongside park and in residential district,2 bathrooms and 1 separate toilet,"9  ,8 ",4,118,,Available,Public parking,Flat roof covered with asphalt roofing,649,2011,https://www.funda.nl/en/koop/amsterdam/huis-42608940-schepenlaan-13,,Roof terrace present,,,7,,,,,,,Detached wooden storage,,,,,,,Located at the west accessible via the rear,"48 m² (8,3 meter deep and 5,84 meter broad)"
73,Available in consultation,500000,5814,Shower and toilet,Resale,C 1.54  ,8,"Mechanical ventilation, passive ventilation system and TV via cable",,CH boiler,CH boiler,Double glazing,,7 ,86,Alongside a quiet road and in residential district,1 bathroom and 1 separate toilet,"4  ,3 ",1,,Double occupancy possible and renovation project,Sold under reservation,"Paid parking, public parking and resident's parking permits",,212,1984,https://www.funda.nl/en/koop/amsterdam/appartement-42689041-spitsbergenstraat-59,Yes,Balcony present,Yes,"Remeha ( combination boiler from 2021, in ownership)",7,3 ,Yes,Yes (€ 129.07 per month),,Yes,Yes,Storage box,Upstairs apartment (apartment), 129.07  ,,,,,,
74,Available in consultation,250000,4098,Toilet,Resale,F  ,6,,,Communal central heating,Electrical boiler,,,3 ,61,,1 bathroom,"3  ,2 ",1,,,Sold under reservation,,Flat roof covered with asphalt roofing,203,1963,https://www.funda.nl/en/koop/amsterdam/appartement-42600133-langswater-473,No,,No,,5,8 ,No,No,,No,No,Attached brick storage,Galleried apartment,,, 263  ,,,,
75,Available in consultation,1200000,8889,Bath,Resale,,,,Back garden,CH boiler,CH boiler,,,"March 11, 2022",135,"Alongside busy road, alongside a quiet road and in residential district",1 bathroom and 1 separate toilet,"4  ,3 ",1,,,Available,,,365,1934,https://www.funda.nl/en/koop/amsterdam/appartement-42637041-rooseveltlaan-84-huis,Yes,,Yes,"Nefit Trendline (gas-fired combination boiler from 2017, in ownership)",5,Grou ,Yes,Yes (€ 169.00 per month),,Yes,Yes,,Ground-floor apartment (apartment), 169.00  ,, 169  ,,,,
76,Available in consultation,479000,7726,Toilet,Resale,D  ,,Electricity,Back garden,CH boiler,CH boiler,Double glazing and floor insulation,,4 ,62,Alongside a quiet road and in residential district,1 bathroom and 1 separate toilet,"3  ,2 ",1,,Listed building (national monument) and monumental building,Sold under reservation,"Paid parking, public parking and resident's parking permits",,226,1913,https://www.funda.nl/en/koop/amsterdam/appartement-88057855-sumatrastraat-10-d,Yes,,Yes,"HR combi ketel Intergas (gas-fired combination boiler from 2017, in ownership)",7,Grou ,Yes,Yes (€ 162.24 per month),,Yes,Yes,Detached brick storage,Ground-floor apartment (apartment), 162.24  ,Energie Prestatie Advies,,,,Located at the west,"46 m² (6 meter deep and 6,8 meter broad)"
77,Available in consultation,600000,6000,,Resale,A  ,9,"Optical fibre, elevator, mechanical ventilation, passive ventilation system and TV via cable",,District heating and complete floor heating,District heating,Completely insulated,,"March 12, 2022",100,"Alongside a quiet road, in residential district and unobstructed surrounding view",1 bathroom and 1 separate toilet,"3  ,2 ",1,,,Available,,Flat roof covered with asphalt roofing,319,2020,https://www.funda.nl/en/koop/amsterdam/appartement-42637072-faas-wilkesstraat-245,Yes,Balcony present,Yes,,6,3 ,No,Yes (€ 212.24 per month),,Yes,Yes,Built-in,Upstairs apartment (apartment), 212.24  ,,,Underground parking and parking place,,,
78,Available in consultation,675000,8036,Shower,Resale,D  ,5,Mechanical ventilation and TV via cable,,Communal central heating,Central facility,Double glazing,,4 ,84,Alongside a quiet road and in residential district,1 bathroom and 1 separate toilet,"5  ,3 ",1,,Protected townscape or village view (permit needed for alterations) and listed building (national monument),Sold under reservation,"Paid parking, public parking and resident's parking permits",Combination roof covered with asphalt roofing and roof tiles,277,1928,https://www.funda.nl/en/koop/amsterdam/appartement-42607762-deurloostraat-127-ii,Yes,Balcony present,Yes,,,2 ,Yes,Yes,,Yes,Yes,,Upstairs apartment (apartment),,, 149  ,,,,
79,Available in consultation,450000,6164,,Resale,A  ,7,Electricity,,CH boiler,CH boiler,,,5 ,73,Alongside a quiet road and in residential district,1 bathroom and 1 separate toilet,"3  ,2 ",1,,,Sold under reservation,"Paid parking, public parking and resident's parking permits",Flat roof covered with asphalt roofing,244,,https://www.funda.nl/en/koop/amsterdam/appartement-42692176-knsm-laan-682,Yes,Balcony present,Yes,"Gas-fired combination boiler, in ownership",5,2 ,Yes,Yes (€ 128.43 per month),,Yes,Yes,Detached brick storage,Apartment with shared street entrance (apartment), 128.43  ,,,,,,
80,Available in consultation,450000,8333,Toilet,Resale,E  ,5,Passive ventilation system and TV via cable,,CH boiler,CH boiler,Double glazing,,"March 5, 2022",54,Alongside a quiet road and in residential district,1 bathroom,"3  ,2 ",1,,,Available,Paid parking and resident's parking permits,,180,1932,https://www.funda.nl/en/koop/amsterdam/appartement-42620190-gillis-van-ledenberchstraat-27-iii,Yes,Balcony present,Yes,"Vaillant VHR-C (gas-fired combination boiler from 2005, in ownership)",,4 ,Yes,Yes (€ 137.00 per month),,Yes,Yes,,Upstairs apartment (apartment), 137.00  ,,,,,,
81,Available in consultation,379000,7580,Shower,Resale,F  ,5,,,CH boiler,CH boiler,,,4 ,50,In residential district,1 bathroom and 1 separate toilet,"2  ,1 ",3,,,Sold under reservation,"Paid parking, public parking and resident's parking permits",Combination roof covered with asphalt roofing and roof tiles,159,1938,https://www.funda.nl/en/koop/amsterdam/appartement-42588572-moerdijkstraat-35-ii,Yes,Balcony present,Yes,"HR combi-ketel (gas-fired combination boiler, in ownership)",9,3 ,Yes,Yes,,Yes,Yes,Built-in,Upstairs apartment (apartment),,,,,,,
