,Annual meeting,Asking price,Asking price per m²,Balcony/roof garden,Bathroom facilities,Building insurance,Building type,CH boiler,Energy label,Exterior space attached to the building,Facilities,Heating,Hot water,Insulation,Listed since,Living area,Located at,Location,Maintenance plan,Number of bath rooms,Number of rooms,Number of stories,Periodic contribution,Registration with KvK,Reserve fund present,Specific,Status,Type apartment,Type of parking facilities,Volume in cubic meters,Year of construction,Back garden,Garden,Garden location,Kind of house,Other space inside the building,Type of garage,External storage space,Provisional energy label,Shed / storage,VVE (Owners Association) contribution,Type of roof,Plot size
59,,449000,3592,Roof terrace present,,,Resale property,"Vaillant Eco Tec plus (gas-fired from 2018, in ownership)",A  ,36,Mechanical ventilation,CH boiler,CH boiler,Double glazing and completely insulated,5 ,125,,,,1 separate toilet,5 rooms (4 bedrooms),3,,,,With carpets and curtains,Sold under reservation,,Paid parking and parking garage,420,2005,,Back garden and front garden,,"Single-family home, row house",,,,,,,Flat roof covered with asphalt roofing,109
60,,375000,3099,,,,Resale property,"Gas-fired combination boiler, in ownership",,2,,CH boiler,CH boiler,"Roof insulation, double glazing and floor insulation","March 3, 2022",121,,Alongside a quiet road,,1 separate toilet,5 rooms (4 bedrooms),3,,,,,Available,,,422,1932,"31 m² (5,76 meter deep and 5,35 meter broad)",Back garden and front garden,Located at the southwest,"Single-family home, row house",,,5,F ,,,Gable roof covered with roof tiles,98
61,Yes,495000,4714,,Toilet,Yes,Resale property,"Intergas (gas-fired combination boiler from 2019, in ownership)",C  ,,TV via cable,CH boiler,CH boiler,Double glazing,"March 10, 2022",105,Grou ,In residential district,No,1 bathroom,3 rooms (1 bedroom),1,Yes (€ 82.00 per month),Yes,Yes,Protected townscape or village view (permit needed for alterations),Available,Ground-floor apartment (apartment),Paid parking and resident's parking permits,445,1900,"49 m² (10,22 meter deep and 4,77 meter broad)",Back garden,Located at the southwest,,15 ,,7,,Attached wooden storage, 82.00  ,,
62,,450000,4500,Roof terrace present,,,Resale property,Gas-fired combination boiler,B  ,15,Mechanical ventilation,CH boiler,CH boiler,Double glazing and completely insulated,2 ,100,,,,1 separate toilet,5 rooms (4 bedrooms),3,,,,,Available,,"Paid parking, parking on gated property, public parking and parking garage",332,1996,"0,01 meter deep and 0,01 meter broad",Back garden,,"Single-family home, row house",13 ,Parking place,6,,,,Flat roof covered with asphalt roofing,96
63,Yes,225000,3125,,,Yes,Resale property,"Remeha Tzerra HR (gas-fired combination boiler from 2018, in ownership)",D  ,5,TV via cable,CH boiler,CH boiler,Double glazing,"March 11, 2022",72,4 ,Alongside a quiet road and in residential district,Yes,1 bathroom and 1 separate toilet,4 rooms (3 bedrooms),1,Yes (€ 146.88 per month),Yes,Yes,Partly furnished with carpets and curtains,Available,Galleried apartment (apartment),"Paid parking, parking on gated property, public parking and resident's parking permits",212,1960,,,,,,,7,,Storage box, 146.88  ,Flat roof,
64,Yes,595000,5667,,Shower and toilet,Yes,Resale property,,A+  ,26,Mechanical ventilation,Heat pump,,"Double glazing, insulated walls and floor insulation",3 ,105,Grou ,Alongside a quiet road and in residential district,Yes,1 bathroom and 1 separate toilet,3 rooms (2 bedrooms),1,Yes (€ 40.00 per month),Yes,Yes,Protected townscape or village view (permit needed for alterations),Available,Ground-floor apartment (apartment),Paid parking and public parking,300,1896,"25 m² (3,74 meter deep and 6,66 meter broad)",Back garden,Located at the north,,,,,,, 40.00  ,,
65,Yes,650000,4577,Balcony present,"Bath, 2 showers and 2 toilets",Yes,Resale property,,D  ,,Mechanical ventilation and sliding door,Communal central heating,Central facility,Double glazing,8 ,142,2 ,Seaview,Yes,2 bathrooms,4 rooms (3 bedrooms),1,Yes (€ 521.06 per month),Yes,Yes,Protected townscape or village view (permit needed for alterations),Available,Apartment with shared street entrance (apartment),Paid parking and resident's parking permits,452,1979,,,,,,Underground parking and parking place,20,,Built-in, 521.06  ,Flat roof,
66,No,2395000,9038,Balcony present,"2 baths, 3 showers and 2 toilets",No,Resale property,,,27,,,,Double glazing and completely insulated,2 ,265,,,No,3 bathrooms and 2 separate toilets,8 rooms (3 bedrooms),2,No,No,No,,Available,Penthouse (apartment),Parking garage,847,2012,,,,,,,8,A ,Built-in,,,
67,No,239000,3319,,,Yes,Resale property,"Bosch (gas-fired from 2009, in ownership)",,4,,CH boiler,CH boiler,Double glazing,5 ,72,3 ,"Alongside a quiet road, in residential district and unobstructed surrounding view",No,,5 rooms (3 bedrooms),2,Yes (€ 50.00 per month),Yes,No,,Available,Upstairs apartment (apartment),Public parking,245,1930,,,,,,,,G ,, 50.00  ,Flat roof covered with asphalt roofing,
68,Yes,459000,3923,Balcony present,Bath and shower,Yes,Resale property,"Intergas HR eco (gas-fired combination boiler from 2014, in ownership)",A  ,7,Elevator and mechanical ventilation,CH boiler,CH boiler,Double glazing,"March 11, 2022",117,3 ,"Alongside park, alongside a quiet road, in residential district and unobstructed surrounding view",Yes,1 bathroom and 1 separate toilet,3 rooms (2 bedrooms),1,Yes (€ 211.00 per month),Yes,Yes,,Available,Apartment with shared street entrance (apartment),Parking on private property and public parking,355,2000,,,,,,Parking place,8,,Built-in, 211.00  ,Flat roof covered with asphalt roofing,
69,No,250000,2874,Balcony present,Shower,Yes,Resale property,"Remeha Avanta HR (gas-fired combination boiler from 2012, in ownership)",E  ,6,Passive ventilation system and TV via cable,CH boiler,CH boiler,Partly double glazed,6 ,87,2 ,Alongside a quiet road and in residential district,No,1 bathroom and 1 separate toilet,3 rooms (2 bedrooms),1,Yes (€ 50.00 per month),Yes,No,,Sold under reservation,Upstairs apartment (apartment with open entrance to street),,294,1939,,,,,,,,,, 50.00  ,Flat roof covered with asphalt roofing,
70,Yes,995000,6378,Roof terrace present and balcony present,Toilet,Yes,Resale property,Intergas Xtreme (2019),A  ,16,Elevator,"CH boiler, complete floor heating and heat recovery unit",CH boiler,Completely insulated,"March 9, 2022",156,,Alongside busy road and in residential district,Yes,2 bathrooms and 1 separate toilet,4 rooms (3 bedrooms),1,Yes (€ 270.35 per month),Yes,Yes,Protected townscape or village view (permit needed for alterations),Available,Apartment with shared street entrance (apartment),"Paid parking, parking on private property and resident's parking permits",583,1933,,Sun terrace,Located at the southwest,,,Parking place,21,,Storage box, 270.35  ,Flat roof covered with asphalt roofing,
71,,1290000,5265,Balcony present,Bath,,Resale property,Combination boiler,F  ,4,,CH boiler and fireplace,CH boiler,,7 ,245,,"Alongside a quiet road, in residential district and unobstructed surrounding view",,1 bathroom and 3 separate toilets,8 rooms (6 bedrooms),3,,,,,Available,,Public parking and resident's parking permits,1026,1929,"222 m² (32,76 meter deep and 6,78 meter broad)",Back garden and front garden,Located at the northwest,"Desirable residence/villa, row house",41 ,,,,,,,356
72,Yes,389000,3163,Balcony present,Shower and toilet,Yes,Resale property,"Remeha Tzerra (gas-fired combination boiler from 2013, in ownership)",A  ,33,Electricity,CH boiler,CH boiler,No insulation,"March 3, 2022",123,2 ,Alongside park and in residential district,Yes,1 bathroom and 1 separate toilet,5 rooms (4 bedrooms),2,Yes (€ 161.01 per month),Yes,Yes,,Available,Galleried apartment (open shared street entrancet),"Paid parking, public parking and resident's parking permits",401,1980,,,,,7 ,,5,,Built-in, 161.01  ,Flat roof covered with asphalt roofing,
73,Yes,375000,4412,,Shower and toilet,Yes,Resale property,"Vaillant (gas-fired combination boiler from 1994, in ownership)",,,Passive ventilation system and flue,CH boiler,CH boiler,Double glazing,3 ,85,Grou ,Alongside a quiet road and in residential district,Yes,1 bathroom,3 rooms (2 bedrooms),1,Yes (€ 150.00 per month),Yes,Yes,Protected townscape or village view (permit needed for alterations) and partly furnished with carpets and curtains,Sold under reservation,Ground-floor apartment (apartment),Paid parking and resident's parking permits,326,1952,,,,,1 ,,3,E ,Storage box, 150.00  ,Flat roof covered with asphalt roofing,
74,No,,3462,,Shower and toilet,No,Resale property,,,40,,,,Partly double glazed,"March 11, 2022",91,Grou ,In residential district,No,1 bathroom,5 rooms (2 bedrooms),1,No,No,No,,Available,Ground-floor apartment,Paid parking,275,1910,,Back garden,,,,,3,G ,Attached brick storage,,,
75,Yes,275000,3767,Balcony present,Shower,Yes,Resale property,"Intergas HR (gas-fired combination boiler from 2014, in ownership)",D  ,7,Flue,CH boiler,CH boiler,,"March 9, 2022",73,3 ,,No,1 bathroom and 1 separate toilet,4 rooms (2 bedrooms),1,Yes (€ 90.00 per month),Yes,Yes,,Available,Residential property with shared street entrance (apartment with open entrance to street),Public parking,245,1926,,,,,,,,,, 90.00  ,Flat roof,
76,Yes,675000,4963,,Bath,Yes,Resale property,"Remeha avanta (gas-fired combination boiler from 2015, in ownership)",B  ,,Flue and TV via cable,CH boiler,CH boiler,Double glazing,3 ,136,Grou ,,Yes,1 bathroom and 1 separate toilet,5 rooms (3 bedrooms),1,Yes (€ 75.00 per month),Yes,Yes,,Sold under reservation,Ground-floor apartment (apartment),Public parking,533,1935,168 m² (14 meter deep and 12 meter broad),Back garden,Located at the southeast,,,Not yet present but possible,4,,Detached brick storage, 75.00  ,Gable roof covered with roof tiles,
77,,521500,4419,,Bath and toilet,,Resale property,"Vaillant EcoTec Pure (gas-fired from 2019, in ownership)",A  ,,"Smart home, mechanical ventilation and solar panels",CH boiler,CH boiler,Double glazing,"March 2, 2022",118,,Alongside a quiet road and in residential district,,1 bathroom and 1 separate toilet,5 rooms (4 bedrooms),3,,,,,Available,,Public parking,415,2005,"59 m² (10,9 meter deep and 5,4 meter broad)",Back garden and front garden,Located at the southwest accessible via the rear,"Single-family home, row house",,,9,,Detached wooden storage,,Mansard roof,146
78,Yes,425000,5183,,Bath,Yes,Resale property,"Intergas (gas-fired combination boiler from 2000, in ownership)",,,"Electricity, heating and running water",CH boiler,CH boiler,Roof insulation,"March 10, 2022",82,Grou ,Alongside a quiet road and in residential district,Yes,1 bathroom and 1 separate toilet,5 rooms (3 bedrooms),1,Yes (€ 75.00 per month),Yes,Yes,,Available,Ground-floor apartment,"Paid parking, public parking and resident's parking permits",268,1929,"87 m² (12,63 meter deep and 6,91 meter broad)",Back garden,Located at the northwest,,,,11,G ,Detached brick storage, 75.00  ,Flat roof covered with asphalt roofing,
79,Yes,165000,3587,Balcony present,Shower,Yes,Resale property,"Gas-fired combination boiler from 2018, in ownership",G  ,4,TV via cable,CH boiler,CH boiler,Partly double glazed and insulated walls,6 ,46,1 ,Alongside a quiet road,Yes,1 bathroom and 1 separate toilet,2 rooms (1 bedroom),1,Yes (€ 67.00 per month),Yes,Yes,,Sold under reservation,Apartment with shared street entrance (apartment),Public parking,150,1955,,,,,,,8,,Storage box, 67.00  ,Flat roof covered with asphalt roofing,
80,Yes,720000,5070,Balcony present,"Bath, 2 showers and toilet",Yes,Resale property,Combination boiler,B  ,12,Outdoor awning and elevator,CH boiler,CH boiler,Double glazing,3 ,142,2 ,"On the edge of a forest, alongside park, alongside a quiet road, in residential district and unobstructed surrounding view",Yes,2 bathrooms and 1 separate toilet,4 rooms (2 bedrooms),1,Yes,Yes,Yes,,Available,Apartment with shared street entrance (apartment),Public parking,498,1970,,,,,,,20,,Built-in,,,
81,Yes,1295000,6852,Roof terrace present,Bath and toilet,Yes,Resale property,"Remeha (gas-fired combination boiler from 2019, in ownership)",,18,Mechanical ventilation,"CH boiler, complete floor heating and heat recovery unit",CH boiler,,5 ,189,Grou ,Sheltered location and in center,Yes,1 bathroom and 1 separate toilet,3 rooms (2 bedrooms),2,Yes (€ 517.90 per month),Yes,Yes,,Available,Ground-floor apartment (apartment),Paid parking and public parking,721,1647,,Back garden and sun terrace,Located at the south,,2 ,,4,,Storage box, 517.90  ,Combination roof covered with asphalt roofing and roof tiles,
83,Yes,700000,4430,Balcony present,Bath and toilet,Yes,Resale property,"Combination boiler, in ownership",E  ,45,,CH boiler,CH boiler,,2 ,158,,,No,1 bathroom and 2 separate toilets,7 rooms (4 bedrooms),2,Yes (€ 192.00 per month),Yes,Yes,Protected townscape or village view (permit needed for alterations),Under offer,Upstairs apartment (double upstairs apartment with open entrance to street),Paid parking and resident's parking permits,605,1915,,,,,,,,,, 192.00  ,Combination roof covered with asphalt roofing and other,
84,,1050000,5303,Roof terrace present and balcony present,Bath and toilet,,Resale property,"Gas-fired combination boiler from 2011, in ownership",C  ,13,Mechanical ventilation and TV via cable,CH boiler,CH boiler,"Roof insulation, double glazing, energy efficient window and floor insulation","March 8, 2022",198,,Alongside a quiet road and in residential district,,2 bathrooms and 2 separate toilets,8 rooms (6 bedrooms),3,,,,Protected townscape or village view (permit needed for alterations),Available,,"Paid parking, public parking and resident's parking permits",749,1900,"98 m² (15,8 meter deep and 6,23 meter broad)",Back garden and front garden,Located at the southeast,"Desirable residence/villa, row house",8 ,,4,,Detached wooden storage,,Combination roof covered with asphalt roofing and other,188
85,No,599000,3309,,,No,Resale property,,G  ,,,Gas heaters,Gas water heater,No insulation,4 ,181,2 ,Alongside a quiet road and in residential district,No,1 bathroom and 2 separate toilets,5 rooms (4 bedrooms),3,No,Yes,Yes,Protected townscape or village view (permit needed for alterations) and renovation project,Available,Upstairs apartment (double upstairs apartment),Paid parking and resident's parking permits,695,1890,,,,,,,,,,,Hipped roof covered with roof tiles,
86,No,700000,5691,,,No,Resale property,,,27,Electricity,Communal central heating,CH boiler,,7 ,123,Grou ,"Alongside park, sheltered location, In wooded surroundings and unobstructed surrounding view",No,1 separate toilet,3 rooms (2 bedrooms),1,No,No,No,Monumental building,Sold under reservation,Ground-floor apartment (apartment),Paid parking and resident's parking permits,401,1939,,,,,,Built-in,7,G ,Built-in, 366.17  ,,
87,Yes,205000,4020,Balcony present,Bath and toilet,Yes,Resale property,,E  ,4,Elevator,Communal central heating,Electrical boiler (rental),Energy efficient window,2 ,51,3 ,Alongside a quiet road and unobstructed surrounding view,Yes,1 bathroom,2 rooms (1 bedroom),1,Yes (€ 114.00 per month),Yes,Yes,,Sold under reservation,Galleried apartment (apartment),Public parking,170,1964,,,,,,,7,,Storage box, 114.00  ,Flat roof,
88,,537500,3402,,"Bath, shower and toilet",,Resale property,,A+  ,2,TV via cable,District heating,District heating,"Roof insulation, double glazing, insulated walls and floor insulation","March 8, 2022",158,,"Alongside a quiet road, in residential district, freestanding location and unobstructed surrounding view",,1 bathroom and 1 separate toilet,7 rooms (4 bedrooms),3,,,,,Available,,Public parking,576,2001,"84 m² (15,5 meter deep and 5,4 meter broad)",Back garden and front garden,Located at the northwest accessible via the rear,"Single-family home, row house (split-level residence)",,,12,,Detached wooden storage,,Shed roof covered with roof tiles,164
